Time,Population
Q1 1970,"21,182,000"
Q2 1970,"21,244,000"
Q3 1970,"21,324,000"
Q4 1970,"21,400,000"
Q1 1971,"21,465,000"
Q2 1971,"21,523,000"
Q3 1971,"21,962,032"
Q4 1971,"22,039,243"
Q1 1972,"22,092,498"
Q2 1972,"22,148,919"
Q3 1972,"22,218,463"
Q4 1972,"22,288,499"
Q1 1973,"22,347,459"
Q2 1973,"22,405,392"
Q3 1973,"22,491,777"
Q4 1973,"22,570,338"
Q1 1974,"22,649,538"
Q2 1974,"22,723,274"
Q3 1974,"22,807,969"
Q4 1974,"22,907,390"
Q1 1975,"22,979,190"
Q2 1975,"23,048,990"
Q3 1975,"23,143,275"
Q4 1975,"23,240,585"
Q1 1976,"23,304,197"
Q2 1976,"23,369,845"
Q3 1976,"23,449,808"
Q4 1976,"23,533,565"
Q1 1977,"23,591,713"
Q2 1977,"23,656,739"
Q3 1977,"23,725,843"
Q4 1977,"23,801,445"
Q1 1978,"23,849,503"
Q2 1978,"23,903,687"
Q3 1978,"23,963,203"
Q4 1978,"24,025,447"
Q1 1979,"24,071,889"
Q2 1979,"24,128,180"
Q3 1979,"24,201,544"
Q4 1979,"24,279,044"
Q1 1980,"24,345,365"
Q2 1980,"24,418,295"
Q3 1980,"24,515,667"
Q4 1980,"24,603,534"
Q1 1981,"24,665,355"
Q2 1981,"24,732,826"
Q3 1981,"24,819,915"
Q4 1981,"24,920,120"
Q1 1982,"24,979,229"
Q2 1982,"25,042,069"
Q3 1982,"25,116,942"
Q4 1982,"25,193,538"
Q1 1983,"25,242,830"
Q2 1983,"25,300,372"
Q3 1983,"25,366,451"
Q4 1983,"25,434,150"
Q1 1984,"25,482,358"
Q2 1984,"25,539,861"
Q3 1984,"25,607,053"
Q4 1984,"25,677,668"
Q1 1985,"25,721,170"
Q2 1985,"25,774,717"
Q3 1985,"25,842,116"
Q4 1985,"25,914,797"
Q1 1986,"25,962,414"
Q2 1986,"26,019,615"
Q3 1986,"26,100,278"
Q4 1986,"26,187,639"
Q1 1987,"26,256,140"
Q2 1987,"26,346,370"
Q3 1987,"26,446,601"
Q4 1987,"26,542,370"
Q1 1988,"26,602,328"
Q2 1988,"26,679,165"
